Category,City,Country,Item,Cost
Date night,Barcelona,Spain,Dinner,69.38
Date night,Barcelona,Spain,Drinks at Dinner,21.28
Date night,Barcelona,Spain,Cinema entry,11.87
Party night,Barcelona,Spain,Taxi,10.92
Party night,Barcelona,Spain,Big Mac,4.75
Party night,Barcelona,Spain,Club entry,24.67
Party night,Barcelona,Spain,2 Longdrinks,24.67
Date night,Hong Kong,Hong Kong,Dinner,75.42
Date night,Hong Kong,Hong Kong,Drinks at Dinner,24.64
Date night,Hong Kong,Hong Kong,Cinema entry,13.57
Party night,Hong Kong,Hong Kong,Taxi,6.32
Party night,Hong Kong,Hong Kong,Big Mac,2.87
Party night,Hong Kong,Hong Kong,Club entry,25.55
Party night,Hong Kong,Hong Kong,2 Longdrinks,27.59
Date night,Mexico City,Mexico,Dinner,55.51
Date night,Mexico City,Mexico,Drinks at Dinner,25.1
Date night,Mexico City,Mexico,Cinema entry,4.21
Party night,Mexico City,Mexico,Taxi,2.52
Party night,Mexico City,Mexico,Big Mac,3.01
Party night,Mexico City,Mexico,Club entry,3.22
Party night,Mexico City,Mexico,2 Longdrinks,11.6
Date night,Miami,USA,Dinner,93.48
Date night,Miami,USA,Drinks at Dinner,42.12
Date night,Miami,USA,Cinema entry,12.41
Party night,Miami,USA,Taxi,10.37
Party night,Miami,USA,Big Mac,4.81
Party night,Miami,USA,Club entry,40
Party night,Miami,USA,2 Longdrinks,32
Date night,Moscow,Russia,Dinner,57.26
Date night,Moscow,Russia,Drinks at Dinner,43.93
Date night,Moscow,Russia,Cinema entry,8.22
Party night,Moscow,Russia,Taxi,7.12
Party night,Moscow,Russia,Big Mac,2.29
Party night,Moscow,Russia,Club entry,1.32
Party night,Moscow,Russia,2 Longdrinks,15.83
Date night,New York,USA,Dinner,144.03
Date night,New York,USA,Drinks at Dinner,38.45
Date night,New York,USA,Cinema entry,16.33
Party night,New York,USA,Taxi,16.53
Party night,New York,USA,Big Mac,5.09
Party night,New York,USA,Club entry,25
Party night,New York,USA,2 Longdrinks,32
Date night,Paris,France,Dinner,85.11
Date night,Paris,France,Drinks at Dinner,40.09
Date night,Paris,France,Cinema entry,13.15
Party night,Paris,France,Taxi,11.06
Party night,Paris,France,Big Mac,5.37
Party night,Paris,France,Club entry,14.8
Party night,Paris,France,2 Longdrinks,29.6
Date night,Prague,Czech Republic,Dinner,53.46
Date night,Prague,Czech Republic,Drinks at Dinner,23.63
Date night,Prague,Czech Republic,Cinema entry,9.43
Party night,Prague,Czech Republic,Taxi,8.63
Party night,Prague,Czech Republic,Big Mac,3.74
Party night,Prague,Czech Republic,Club entry,19.44
Party night,Prague,Czech Republic,2 Longdrinks,14.48
Date night,Rio de Janeiro,Brazil,Dinner,57.02
Date night,Rio de Janeiro,Brazil,Drinks at Dinner,30.2
Date night,Rio de Janeiro,Brazil,Cinema entry,8.48
Party night,Rio de Janeiro,Brazil,Taxi,5.21
Party night,Rio de Janeiro,Brazil,Big Mac,5.61
Party night,Rio de Janeiro,Brazil,Club entry,14.76
Party night,Rio de Janeiro,Brazil,2 Longdrinks,18.49
Date night,Stockholm,Sweden,Dinner,111.04
Date night,Stockholm,Sweden,Drinks at Dinner,58.6
Date night,Stockholm,Sweden,Cinema entry,19.19
Party night,Stockholm,Sweden,Taxi,19.91
Party night,Stockholm,Sweden,Big Mac,5.62
Party night,Stockholm,Sweden,Club entry,27.14
Party night,Stockholm,Sweden,2 Longdrinks,34.3
Date night,Sydney,Australia,Dinner,78.62
Date night,Sydney,Australia,Drinks at Dinner,34.59
Date night,Sydney,Australia,Cinema entry,13.96
Party night,Sydney,Australia,Taxi,10.4
Party night,Sydney,Australia,Big Mac,4.42
Party night,Sydney,Australia,Club entry,19.66
Party night,Sydney,Australia,2 Longdrinks,28.3
Date night,Tokyo,Japan,Dinner,121.26
Date night,Tokyo,Japan,Drinks at Dinner,62.18
Date night,Tokyo,Japan,Cinema entry,16.73
Party night,Tokyo,Japan,Taxi,17.02
Party night,Tokyo,Japan,Big Mac,3.5
Party night,Tokyo,Japan,Club entry,18.58
Party night,Tokyo,Japan,2 Longdrinks,18.94
Date night,Zurich,Switzerland,Dinner,106.51
Date night,Zurich,Switzerland,Drinks at Dinner,52.99
Date night,Zurich,Switzerland,Cinema entry,19.61
Party night,Zurich,Switzerland,Taxi,24.38
Party night,Zurich,Switzerland,Big Mac,6.89
Party night,Zurich,Switzerland,Club entry,26.5
Party night,Zurich,Switzerland,2 Longdrinks,36.03
