id,Letter,Image
1,A,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Sign_language_A.svg/91px-Sign_language_A.svg.png
2,B,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Sign_language_B.svg/53px-Sign_language_B.svg.png
3,C,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Sign_language_C.svg/111px-Sign_language_C.svg.png
4,D,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Sign_language_D.svg/59px-Sign_language_D.svg.png
5,E,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Sign_language_E.svg/78px-Sign_language_E.svg.png
6,F,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Sign_language_F.svg/59px-Sign_language_F.svg.png
7,G,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Sign_language_G.svg/120px-Sign_language_G.svg.png
8,H,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Sign_language_H.svg/120px-Sign_language_H.svg.png
9,I,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Sign_language_I.svg/68px-Sign_language_I.svg.png
10,J,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Sign_language_J.svg/120px-Sign_language_J.svg.png
11,K,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Sign_language_K.svg/66px-Sign_language_K.svg.png
12,L,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Sign_language_L.svg/88px-Sign_language_L.svg.png
13,M,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Sign_language_M.svg/79px-Sign_language_M.svg.png
14,N,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Sign_language_N.svg/78px-Sign_language_N.svg.png
15,O,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Sign_language_O.svg/92px-Sign_language_O.svg.png
16,P,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Sign_language_P.svg/120px-Sign_language_P.svg.png
17,Q,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Sign_language_Q.svg/95px-Sign_language_Q.svg.png
18,R,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Sign_language_R.svg/58px-Sign_language_R.svg.png
19,S,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Sign_language_S.svg/92px-Sign_language_S.svg.png
20,T,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Sign_language_T.svg/91px-Sign_language_T.svg.png
21,U,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Sign_language_U.svg/55px-Sign_language_U.svg.png
22,V,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Sign_language_V.svg/58px-Sign_language_V.svg.png
23,W,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Sign_language_W.svg/61px-Sign_language_W.svg.png
24,X,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Sign_language_X.svg/83px-Sign_language_X.svg.png
25,Y,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Sign_language_Y.svg/120px-Sign_language_Y.svg.png
26,Z,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Sign_language_Z.svg/78px-Sign_language_Z.svg.png
