Week,shark attacks: (United States),ice cream near me: (United States),pool near me: (United States)
2017-06-11,5,41,29
2017-06-18,5,43,26
2017-06-25,5,44,23
2017-07-02,5,51,31
2017-07-09,5,43,24
2017-07-16,4,49,25
2017-07-23,9,44,21
2017-07-30,5,41,19
2017-08-06,3,39,15
2017-08-13,3,34,14
2017-08-20,4,32,12
2017-08-27,2,28,11
2017-09-03,2,28,11
2017-09-10,2,22,9
2017-09-17,1,23,10
2017-09-24,2,22,9
2017-10-01,1,21,9
2017-10-08,2,21,11
2017-10-15,2,20,9
2017-10-22,2,18,7
2017-10-29,1,13,7
2017-11-05,1,15,9
2017-11-12,1,12,8
2017-11-19,2,17,8
2017-11-26,2,13,7
2017-12-03,2,11,7
2017-12-10,2,10,7
2017-12-17,1,14,8
2017-12-24,2,17,11
2017-12-31,2,15,9
2018-01-07,2,14,9
2018-01-14,2,17,9
2018-01-21,2,17,9
2018-01-28,2,18,9
2018-02-04,2,15,9
2018-02-11,2,19,10
2018-02-18,2,22,12
2018-02-25,2,20,12
2018-03-04,2,21,11
2018-03-11,2,26,12
2018-03-18,2,26,12
2018-03-25,2,32,14
2018-04-01,3,32,14
2018-04-08,2,28,13
2018-04-15,2,27,12
2018-04-22,3,34,13
2018-04-29,2,36,16
2018-05-06,2,37,18
2018-05-13,3,35,19
2018-05-20,2,39,28
2018-05-27,3,48,41
2018-06-03,3,44,33
2018-06-10,3,47,35
2018-06-17,3,48,35
2018-06-24,3,51,38
2018-07-01,5,64,47
2018-07-08,4,54,34
2018-07-15,11,55,28
2018-07-22,11,52,27
2018-07-29,5,50,24
2018-08-05,5,50,25
2018-08-12,8,43,21
2018-08-19,4,41,18
2018-08-26,3,39,20
2018-09-02,2,40,18
2018-09-09,2,26,14
2018-09-16,5,29,13
2018-09-23,2,25,12
2018-09-30,4,25,12
2018-10-07,2,26,11
2018-10-14,2,21,11
2018-10-21,1,18,9
2018-10-28,2,19,10
2018-11-04,1,18,9
2018-11-11,1,17,9
2018-11-18,1,19,10
2018-11-25,2,13,9
2018-12-02,1,14,8
2018-12-09,1,14,9
2018-12-16,1,15,9
2018-12-23,2,23,12
2018-12-30,2,25,13
2019-01-06,2,18,10
2019-01-13,2,17,10
2019-01-20,2,19,12
2019-01-27,2,18,12
2019-02-03,2,19,13
2019-02-10,2,20,12
2019-02-17,2,22,14
2019-02-24,2,22,14
2019-03-03,2,23,14
2019-03-10,2,34,16
2019-03-17,2,38,16
2019-03-24,2,41,18
2019-03-31,2,40,18
2019-04-07,2,41,19
2019-04-14,2,43,19
2019-04-21,2,42,20
2019-04-28,2,40,21
2019-05-05,2,43,22
2019-05-12,2,44,25
2019-05-19,3,51,39
2019-05-26,7,65,49
2019-06-02,6,56,41
2019-06-09,5,59,39
2019-06-16,10,60,36
2019-06-23,26,70,50
2019-06-30,12,93,56
2019-07-07,5,67,42
2019-07-14,8,75,47
2019-07-21,7,83,41
2019-07-28,11,68,36
2019-08-04,8,63,33
2019-08-11,4,54,27
2019-08-18,5,49,25
2019-08-25,3,44,21
2019-09-01,2,45,21
2019-09-08,2,35,17
2019-09-15,2,35,15
2019-09-22,2,35,15
2019-09-29,2,31,14
2019-10-06,2,29,12
2019-10-13,1,29,12
2019-10-20,1,25,12
2019-10-27,1,22,12
2019-11-03,2,21,12
2019-11-10,1,21,12
2019-11-17,1,20,11
2019-11-24,1,23,11
2019-12-01,1,16,9
2019-12-08,1,17,9
2019-12-15,1,18,12
2019-12-22,2,31,15
2019-12-29,2,35,17
2020-01-05,2,25,13
2020-01-12,1,24,13
2020-01-19,2,24,15
2020-01-26,1,25,13
2020-02-02,2,24,13
2020-02-09,1,27,16
2020-02-16,2,31,17
2020-02-23,2,28,16
2020-03-01,2,31,16
2020-03-08,2,34,15
2020-03-15,1,23,12
2020-03-22,1,17,11
2020-03-29,1,17,12
2020-04-05,1,18,13
2020-04-12,1,16,14
2020-04-19,1,22,18
2020-04-26,1,27,25
2020-05-03,2,32,29
2020-05-10,3,32,29
2020-05-17,3,37,38
2020-05-24,3,51,60
2020-05-31,2,44,55
2020-06-07,3,58,63
2020-06-14,3,60,49
2020-06-21,3,65,55
2020-06-28,2,73,69
2020-07-05,2,69,58
2020-07-12,3,68,49
2020-07-19,5,71,45
2020-07-26,10,66,42
2020-08-02,6,59,33
2020-08-09,5,60,34
2020-08-16,4,54,29
2020-08-23,2,46,24
2020-08-30,2,44,25
2020-09-06,2,46,24
2020-09-13,2,36,18
2020-09-20,2,35,17
2020-09-27,1,33,14
2020-10-04,2,35,15
2020-10-11,1,34,16
2020-10-18,1,33,14
2020-10-25,1,24,13
2020-11-01,1,22,11
2020-11-08,1,27,13
2020-11-15,1,24,12
2020-11-22,2,26,12
2020-11-29,1,18,11
2020-12-06,2,19,10
2020-12-13,1,19,11
2020-12-20,1,23,11
2020-12-27,1,31,15
2021-01-03,1,24,14
2021-01-10,1,24,14
2021-01-17,1,28,16
2021-01-24,1,24,16
2021-01-31,1,23,16
2021-02-07,1,24,17
2021-02-14,1,26,19
2021-02-21,1,30,22
2021-02-28,2,33,23
2021-03-07,2,40,26
2021-03-14,2,42,29
2021-03-21,2,51,30
2021-03-28,2,52,31
2021-04-04,2,59,35
2021-04-11,2,47,31
2021-04-18,2,51,30
2021-04-25,2,54,33
2021-05-02,2,52,38
2021-05-09,2,57,37
2021-05-16,2,70,49
2021-05-23,2,68,57
2021-05-30,3,91,64
2021-06-06,2,80,72
2021-06-13,3,93,74
2021-06-20,2,91,59
2021-06-27,5,90,64
2021-07-04,6,100,59
2021-07-11,7,92,48
2021-07-18,6,93,48
2021-07-25,4,86,47
2021-08-01,3,79,40
2021-08-08,3,73,42
2021-08-15,2,66,33
2021-08-22,2,57,34
2021-08-29,1,52,30
2021-09-05,2,58,29
2021-09-12,2,45,22
2021-09-19,1,44,22
2021-09-26,1,42,19
2021-10-03,2,40,18
2021-10-10,2,42,20
2021-10-17,1,36,17
2021-10-24,1,31,16
2021-10-31,1,26,15
2021-11-07,1,30,16
2021-11-14,1,26,16
2021-11-21,1,32,15
2021-11-28,1,22,14
2021-12-05,1,24,13
2021-12-12,1,26,14
2021-12-19,1,29,13
2021-12-26,2,38,18
2022-01-02,2,27,16
2022-01-09,1,27,16
2022-01-16,1,28,19
2022-01-23,2,28,17
2022-01-30,1,34,18
2022-02-06,1,33,20
2022-02-13,3,34,20
2022-02-20,2,38,22
2022-02-27,2,38,22
2022-03-06,1,41,25
2022-03-13,1,52,27
2022-03-20,2,50,28
2022-03-27,2,46,28
2022-04-03,2,50,31
2022-04-10,2,53,30
2022-04-17,2,54,31
2022-04-24,1,54,31
2022-05-01,2,53,34
2022-05-08,2,66,43
2022-05-15,2,70,51
2022-05-22,2,65,49
2022-05-29,7,98,74
2022-06-05,2,88,65
