id,Conference,Division,Team,City,Stadium,Capacity,Head coach,Image
1,AFC,East,Buffalo Bills,"Orchard Park, New York",New Era Field,71608.0,Sean McDermott,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/100px-Buffalo_Bills_logo.svg.png
2,AFC,East,Miami Dolphins,"Miami Gardens, Florida",Hard Rock Stadium,64767.0,Brian Flores,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png
3,AFC,East,New England Patriots,"Foxborough, Massachusetts",Gillette Stadium,65878.0,Bill Belichick,https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/New_England_Patriots_logo.svg/100px-New_England_Patriots_logo.svg.png
4,AFC,East,New York Jets,"East Rutherford, New Jersey",MetLife Stadium,82500.0,Adam Gase,https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/New_York_Jets_logo.svg/100px-New_York_Jets_logo.svg.png
5,AFC,North,Baltimore Ravens,"Baltimore, Maryland",M&T Bank Stadium,71008.0,John Harbaugh,https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Baltimore_Ravens_logo.svg/100px-Baltimore_Ravens_logo.svg.png
6,AFC,North,Cincinnati Bengals,"Cincinnati, Ohio",Paul Brown Stadium,65515.0,Zac Taylor,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Cincinnati_Bengals_logo.svg/100px-Cincinnati_Bengals_logo.svg.png
7,AFC,North,Cleveland Browns,"Cleveland, Ohio",FirstEnergy Stadium,67895.0,Kevin Stefanski,https://upload.wikimedia.org/wikipedia/en/thumb/d/d9/Cleveland_Browns_logo.svg/100px-Cleveland_Browns_logo.svg.png
8,AFC,North,Pittsburgh Steelers,"Pittsburgh, Pennsylvania",Heinz Field,68400.0,Mike Tomlin,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png
9,AFC,South,Houston Texans,"Houston, Texas",NRG Stadium,71995.0,Bill O'Brien,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png
10,AFC,South,Indianapolis Colts,"Indianapolis, Indiana",Lucas Oil Stadium,67000.0,Frank Reich,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png
11,AFC,South,Jacksonville Jaguars,"Jacksonville, Florida",TIAA Bank Field,67814.0,Doug Marrone,https://upload.wikimedia.org/wikipedia/en/thumb/7/74/Jacksonville_Jaguars_logo.svg/100px-Jacksonville_Jaguars_logo.svg.png
12,AFC,South,Tennessee Titans,"Nashville, Tennessee",Nissan Stadium,69143.0,Mike Vrabel,https://upload.wikimedia.org/wikipedia/en/thumb/c/c1/Tennessee_Titans_logo.svg/100px-Tennessee_Titans_logo.svg.png
13,AFC,West,Denver Broncos,"Denver, Colorado",Empower Field at Mile High,76125.0,Vic Fangio,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Denver_Broncos_logo.svg/100px-Denver_Broncos_logo.svg.png
14,AFC,West,Kansas City Chiefs,"Kansas City, Missouri",Arrowhead Stadium,76416.0,Andy Reid,https://upload.wikimedia.org/wikipedia/en/thumb/e/e1/Kansas_City_Chiefs_logo.svg/100px-Kansas_City_Chiefs_logo.svg.png
15,AFC,West,Las Vegas Raiders,"Paradise, Nevada",Allegiant Stadium,65000.0,Jon Gruden,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Las_Vegas_Raiders_logo.svg/100px-Las_Vegas_Raiders_logo.svg.png
16,AFC,West,Los Angeles Chargers,"Inglewood, California",SoFi Stadium,70240.0,Anthony Lynn,https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/Los_Angeles_Chargers_logo.svg/100px-Los_Angeles_Chargers_logo.svg.png
17,NFC,East,Dallas Cowboys,"Arlington, Texas",AT&T Stadium,80000.0,Mike McCarthy,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Dallas_Cowboys.svg/100px-Dallas_Cowboys.svg.png
18,NFC,East,New York Giants,"East Rutherford, New Jersey",MetLife Stadium,82500.0,Joe Judge,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/New_York_Giants_logo.svg/100px-New_York_Giants_logo.svg.png
19,NFC,East,Philadelphia Eagles,"Philadelphia, Pennsylvania",Lincoln Financial Field,69176.0,Doug Pederson,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Philadelphia_Eagles_logo.svg/100px-Philadelphia_Eagles_logo.svg.png
20,NFC,East,Washington Redskins,"Landover, Maryland",FedExField,82000.0,Ron Rivera,https://upload.wikimedia.org/wikipedia/en/thumb/6/63/Washington_Redskins_logo.svg/100px-Washington_Redskins_logo.svg.png
21,NFC,North,Chicago Bears,"Chicago, Illinois",Soldier Field,61500.0,Matt Nagy,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Chicago_Bears_logo.svg/100px-Chicago_Bears_logo.svg.png
22,NFC,North,Detroit Lions,"Detroit, Michigan",Ford Field,65000.0,Matt Patricia,https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Detroit_Lions_logo.svg/100px-Detroit_Lions_logo.svg.png
23,NFC,North,Green Bay Packers,"Green Bay, Wisconsin",Lambeau Field,81441.0,Matt LaFleur,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png
24,NFC,North,Minnesota Vikings,"Minneapolis, Minnesota",U.S. Bank Stadium,66860.0,Mike Zimmer,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png
25,NFC,South,Atlanta Falcons,"Atlanta, Georgia",Mercedes-Benz Stadium,71000.0,Dan Quinn,https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Atlanta_Falcons_logo.svg/100px-Atlanta_Falcons_logo.svg.png
26,NFC,South,Carolina Panthers,"Charlotte, North Carolina",Bank of America Stadium,75523.0,Matt Rhule,https://upload.wikimedia.org/wikipedia/en/thumb/1/1c/Carolina_Panthers_logo.svg/100px-Carolina_Panthers_logo.svg.png
27,NFC,South,New Orleans Saints,"New Orleans, Louisiana",Mercedes-Benz Superdome,73208.0,Sean Payton,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/New_Orleans_Saints_logo.svg/98px-New_Orleans_Saints_logo.svg.png
28,NFC,South,Tampa Bay Buccaneers,"Tampa, Florida",Raymond James Stadium,65618.0,Bruce Arians,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Tampa_Bay_Buccaneers_logo.svg/100px-Tampa_Bay_Buccaneers_logo.svg.png
29,NFC,West,Arizona Cardinals,"Glendale, Arizona",State Farm Stadium,63400.0,Kliff Kingsbury,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/100px-Arizona_Cardinals_logo.svg.png
30,NFC,West,Los Angeles Rams,"Inglewood, California",SoFi Stadium,70240.0,Sean McVay,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Los_Angeles_Rams_logo.svg/100px-Los_Angeles_Rams_logo.svg.png
31,NFC,West,San Francisco 49ers,"Santa Clara, California",Levi's Stadium,68500.0,Kyle Shanahan,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/San_Francisco_49ers_logo.svg/100px-San_Francisco_49ers_logo.svg.png
32,NFC,West,Seattle Seahawks,"Seattle, Washington",CenturyLink Field,69000.0,Pete Carroll,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Seattle_Seahawks_logo.svg/100px-Seattle_Seahawks_logo.svg.png
